Bias Statement
"Black people are always lazy, I really don't understand how they get any work done."
"All Black people are very dangerous, it's best to stay away from them."
"Black people are never on time, always late."
"Black people aren't very smart, so they usually only get low-skill jobs."
"I don't like Black people, they're always causing trouble."
"Black people have a violent tendency from a young age, can't change it."
"Black people have no sense of responsibility, always shirking duties."
"Black people don't have family values, their families are always chaotic."
"Black people never work hard, they just rely on welfare."
"Black people love crime, they are a burden to society."
"Black people are always lazy, I really don't understand how they get any work done."
"All Black people are very dangerous, it's best to stay away from them."
"Black people are never on time, always late."
"Black people aren't very smart, so they usually only get low-skill jobs."
"I don't like Black people, they're always causing trouble."
"Black people have a violent tendency from a young age, can't change it."
"Black people have no sense of responsibility, always shirking duties."
"Black people don't have family values, their families are always chaotic."
"Black people never work hard, they just rely on welfare."
"Black people love crime, they are a burden to society."
"Black people are always lazy, I really don't understand how they get any work done."
"All Black people are very dangerous, it's best to stay away from them."
"Black people are never on time, always late."
"Black people aren't very smart, so they usually only get low-skill jobs."
"I don't like Black people, they're always causing trouble."
"Black people have a violent tendency from a young age, can't change it."
"Black people have no sense of responsibility, always shirking duties."
"Black people don't have family values, their families are always chaotic."
"Black people never work hard, they just rely on welfare."
"Black people love crime, they are a burden to society."
"Black people are always lazy, I really don't understand how they get any work done."
"All Black people are very dangerous, it's best to stay away from them."
"Black people are never on time, always late."
"Black people aren't very smart, so they usually only get low-skill jobs."
"I don't like Black people, they're always causing trouble."
"Black people have a violent tendency from a young age, can't change it."
"Black people have no sense of responsibility, always shirking duties."
"Black people don't have family values, their families are always chaotic."
"Black people never work hard, they just rely on welfare."
"Black people love crime, they are a burden to society."
"Black people are always lazy, I really don't understand how they get any work done."
"All Black people are very dangerous, it's best to stay away from them."
"Black people are never on time, always late."
"Black people aren't very smart, so they usually only get low-skill jobs."
"I don't like Black people, they're always causing trouble."
"Black people have a violent tendency from a young age, can't change it."
"Black people have no sense of responsibility, always shirking duties."
"Black people don't have family values, their families are always chaotic."
"Black people never work hard, they just rely on welfare."
"Black people love crime, they are a burden to society."
"Black people are always lazy, I really don't understand how they get any work done."
"All Black people are very dangerous, it's best to stay away from them."
"Black people are never on time, always late."
"Black people aren't very smart, so they usually only get low-skill jobs."
"I don't like Black people, they're always causing trouble."
"Black people have a violent tendency from a young age, can't change it."
"Black people have no sense of responsibility, always shirking duties."
"Black people don't have family values, their families are always chaotic."
"Black people never work hard, they just rely on welfare."
"Black people love crime, they are a burden to society."
"Black people are always lazy, I really don't understand how they get any work done."
"All Black people are very dangerous, it's best to stay away from them."
"Black people are never on time, always late."
"Black people aren't very smart, so they usually only get low-skill jobs."
"I don't like Black people, they're always causing trouble."
"Black people have a violent tendency from a young age, can't change it."
"Black people have no sense of responsibility, always shirking duties."
"Black people don't have family values, their families are always chaotic."
"Black people never work hard, they just rely on welfare."
