Conversation_ID,Message,Label
conv_1,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_2,Nobody likes you. Why do you keep posting here?,Potential Cyberbullying
conv_3,"I think you might have misunderstood what I wrote, let's try to clarify things.",No Cyberbullying
conv_4,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_5,"Great point! I hadn't considered that before, thanks for bringing it up.",No Cyberbullying
conv_6,"I think you might have misunderstood what I wrote, let's try to clarify things.",No Cyberbullying
conv_7,Let's agree to disagree on this. Everyone has their own viewpoint.,No Cyberbullying
conv_8,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_9,Let's agree to disagree on this. Everyone has their own viewpoint.,No Cyberbullying
conv_10,"Great point! I hadn't considered that before, thanks for bringing it up.",No Cyberbullying
conv_11,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_12,Nobody likes you. Why do you keep posting here?,Potential Cyberbullying
conv_13,"Do us all a favor and delete your account, you're a joke.",Potential Cyberbullying
conv_14,"Thanks for sharing your thoughts! I see it differently, but I appreciate your perspective.",No Cyberbullying
conv_15,"Do us all a favor and delete your account, you're a joke.",Potential Cyberbullying
conv_16,"Great point! I hadn't considered that before, thanks for bringing it up.",No Cyberbullying
conv_17,Can you provide more details on your point? I'm interested to understand better.,No Cyberbullying
conv_18,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_19,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_20,"Great point! I hadn't considered that before, thanks for bringing it up.",No Cyberbullying
conv_21,Can you provide more details on your point? I'm interested to understand better.,No Cyberbullying
conv_22,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_23,"Do us all a favor and delete your account, you're a joke.",Potential Cyberbullying
conv_24,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_25,"Thanks for sharing your thoughts! I see it differently, but I appreciate your perspective.",No Cyberbullying
conv_26,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_27,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_28,"Great point! I hadn't considered that before, thanks for bringing it up.",No Cyberbullying
conv_29,"Do us all a favor and delete your account, you're a joke.",Potential Cyberbullying
conv_30,Can you provide more details on your point? I'm interested to understand better.,No Cyberbullying
conv_31,Can you provide more details on your point? I'm interested to understand better.,No Cyberbullying
conv_32,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_33,Nobody likes you. Why do you keep posting here?,Potential Cyberbullying
conv_34,Nobody likes you. Why do you keep posting here?,Potential Cyberbullying
conv_35,"Great point! I hadn't considered that before, thanks for bringing it up.",No Cyberbullying
conv_36,Let's agree to disagree on this. Everyone has their own viewpoint.,No Cyberbullying
conv_37,Can you provide more details on your point? I'm interested to understand better.,No Cyberbullying
conv_38,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_39,"I think you might have misunderstood what I wrote, let's try to clarify things.",No Cyberbullying
conv_40,That was the dumbest thing I've ever read. Learn to think before you type.,Potential Cyberbullying
conv_41,"Thanks for sharing your thoughts! I see it differently, but I appreciate your perspective.",No Cyberbullying
conv_42,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_43,"Do us all a favor and delete your account, you're a joke.",Potential Cyberbullying
conv_44,"Great point! I hadn't considered that before, thanks for bringing it up.",No Cyberbullying
conv_45,"Great point! I hadn't considered that before, thanks for bringing it up.",No Cyberbullying
conv_46,"Thanks for sharing your thoughts! I see it differently, but I appreciate your perspective.",No Cyberbullying
conv_47,Let's agree to disagree on this. Everyone has their own viewpoint.,No Cyberbullying
conv_48,"Just stop talking, you make me sick.",Potential Cyberbullying
