Type,Sentence
Neutral,1. The new policy unfairly benefits the wealthy while disregarding the needs of the working class.
Neutral,3. The CEO's extravagant spending shows how out of touch they are with the struggles of ordinary employees.
Neutral,5. It's no surprise that the wealthy elite keep getting richer while the middle class continues to fall behind.
Neutral,"7. Law enforcement officers are systematically targeting minority communities, leading to gross injustices."
Neutral,9. Environmental activists are constantly battling against greedy corporations that prioritize profits over the well-being of the planet.
Neutral,
Neutral,1. The new policy aims to address economic disparities within the country.
Neutral,3. The CEO's spending habits have come under scrutiny from various stakeholders.
Neutral,5. Income inequality remains a topic of discussion among economists and policymakers.
Neutral,7. Law enforcement practices are being reviewed for potential biases.
Neutral,9. Environmental concerns have led to calls for more sustainable practices in various industries.
Neutral,
Neutral,1. It's obvious that chocolate ice cream is the best flavor.
Neutral,3. The new laws implemented by the government are a blatant attempt to gain more control over its citizens.
Neutral,5. The company's decision to cut employee benefits shows their lack of care for their workers.
Neutral,Neutral sentences:
Neutral,2. The latest statistics show an increase in unemployment rates.
Neutral,4. The research paper explores the effects of climate change on marine ecosystems.
Neutral,1. Everyone knows that pizza is the best food in the world.
Neutral,3. People who don't exercise are lazy and unmotivated.
Neutral,5. The new restaurant in town is guaranteed to be a disappointment.
Neutral,7. Only ignorant people would believe in conspiracy theories.
Neutral,9. People who listen to classical music are more sophisticated and cultured.
Neutral,
Neutral,1. The weather today is warm and sunny.
Neutral,3. The new restaurant in town offers a variety of cuisine options.
Neutral,5. It is important to get regular exercise to maintain good health.
Neutral,7. Public transportation is a convenient way to travel around the city.
Neutral,9. Learning a new language can be a rewarding experience.
Neutral,1. The new policy ensures that employees work harder and more efficiently.
Neutral,3. Scientists have proven that climate change is a hoax created by environmental extremists.
Neutral,5. Vaccines are dangerous and can cause more harm than good.
Neutral,7. Studies show that video games are responsible for the rise in violent behavior among young people.
Neutral,9. The opposition party's criticism of the government is based on unfounded accusations.
Neutral,
Neutral,1. The new policy aims to streamline operations and improve efficiency.
Neutral,3. Scientists continue to study the complex factors contributing to climate change.
Neutral,5. Vaccines undergo rigorous testing and evaluation for safety and effectiveness.
Neutral,7. Research is ongoing to understand the influence of video games on behavior.
Neutral,9. Different political parties express contrasting viewpoints on governance and policy.
Neutral,1. Chocolate is definitely the best flavor of ice cream.
Neutral,3. Pizza from New York City is without a doubt the most delicious in the world.
Neutral,5. Red is the most flattering color to wear for any occasion.
Neutral,7. Traveling by train is the most relaxing way to get around.
Neutral,9. Netflix has the best selection of movies and TV shows out of all streaming services.
Neutral,
Neutral,1. Some people prefer tea over coffee for their morning beverage.
Neutral,3. The weather can vary greatly depending on the region and time of year.
Neutral,5. Different cultures around the world have their own unique traditions and customs.
Neutral,7. Exercise is important for maintaining physical health and well-being.
